Rank;Name;Computer;Site;Country;Year;Segment;Total Cores;Power (kW);Cores per Socket;Continent;Site ID;System ID;Power per Socket (kW)
1;Frontier;HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11;DOE/SC/Oak Ridge National Laboratory;United States;2021;Research;8699904;22703;64;North America;48,553;180047;0.16701241760828625
2;Aurora;HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max,;DOE/SC/Argonne National Laboratory;United States;2023;Research;4742808;24686.88;52;North America;47,347;180183;0.27066618762555855
4;Supercomputer Fugaku;Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D;RIKEN Center for Computational Science;Japan;2020;Research;7630848;29899.23;48;Asia;50,831;179807;0.18807386020531403
5;LUMI;HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11;EuroHPC/CSC;Finland;2023;Research;2752704;7106.82;64;Europe;50,908;180048;0.16523261491246424
6;Leonardo;BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 I;EuroHPC/CINECA;Italy;2023;Academic;1824768;7404.4;32;Europe;50,944;180128;0.12984708193041525
7;Summit;IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniban;DOE/SC/Oak Ridge National Laboratory;United States;2018;Research;2414592;10096;22;North America;48,553;179397;0.09198738337574215
8;MareNostrum 5 ACC;BullSequana XH3000, Xeon Platinum 8460Y+ 40C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR200;EuroHPC/BSC;Spain;2023;Research;680960;2560;40;Europe;50,979;180238;0.15037593984962405
10;Sierra;IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband;DOE/NNSA/LLNL;United States;2018;Research;1572480;7438.28;22;North America;49,763;179398;0.10406629019129018
11;Sunway TaihuLight;Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway;National Supercomputing Center in Wuxi;China;2016;Research;10649600;15371;260;Asia;50,623;178764;0.3752685546875
12;Perlmutter;HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11;DOE/SC/LBNL/NERSC;United States;2021;Research;888832;2945;64;North America;48,429;179972;0.21205357142857142
14;Tianhe-2A;TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000;National Super Computer Center in Guangzhou;China;2018;Research;4981760;18482;12;Asia;50,365;177999;0.04451920606372045
17;Adastra;HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11;Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprie;France;2022;Academic;319072;921.48;64;Europe;50,203;180051;0.18483201283722797
18;JUWELS Booster Module;Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStat;Forschungszentrum Juelich (FZJ);Germany;2020;Research;449280;1764.22;24;Europe;47,871;179894;0.09424252136752137
19;MareNostrum 5 GPP;ThinkSystem SD650 v3, Xeon Platinum 03H-LC 56C 1.7GHz, Infiniband NDR200;EuroHPC/BSC;Spain;2023;Research;725760;5752.9;56;Europe;50,979;180237;0.4438966049382716
20;Shaheen III - CPU;HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11;King Abdullah University of Science and Technology;Saudi Arabia;2023;Academic;877824;5301;96;Asia;50,205;180179;0.5797244094488189
24;Crossroads;HPE Cray EX, Xeon CPU Max 9480 56C 1.9GHz, Slingshot-11;DOE/NNSA/LANL/SNL;United States;2023;Research;660800;6283.91;56;North America;50,334;180178;0.5325347457627119
25;Setonix – GPU;HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11;Pawsey Supercomputing Centre, Kensington, Western Australia;Australia;2022;Research;181248;476.63;64;Oceania;50,488;180123;0.1683015536723164
30;CEA-HF;BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2;Commissariat a l'Energie Atomique (CEA);France;2021;Research;810240;4959.47;64;Europe;47,593;180031;0.39174328593996843
32;ABCI 2.0;PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;National Institute of Advanced Industrial Science and Technology (AIST);Japan;2021;Research;504000;1600.32;20;Asia;50,762;179954;0.0635047619047619
33;Wisteria/BDEC-01 (Odyssey);PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D;Information Technology Center, The University of Tokyo;Japan;2021;Academic;368640;1468;48;Asia;50,096;179962;0.19114583333333332
35;Marconi-100;IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband;CINECA;Italy;2019;Academic;347776;1476;16;Europe;47,495;179845;0.06790577843209422
37;Piz Daint;Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100;Swiss National Supercomputing Centre (CSCS);Switzerland;2017;Research;387872;2384.24;12;Europe;50,422;177824;0.07376371586502764
38;Trinity;Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect;DOE/NNSA/LANL/SNL;United States;2017;Research;979072;7578.1;68;North America;50,334;178610;0.5263257451954504
42;Hawk;Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband;HLRS - Höchstleistungsrechenzentrum Stuttgart;Germany;2020;Research;698880;3905.83;64;Europe;50,543;179880;0.35767673992673993
44;Frontier TDS;HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11;DOE/SC/Oak Ridge National Laboratory;United States;2021;Research;120832;308.68;64;North America;48,553;180053;0.16349576271186442
50;AOBA-S;SX-Aurora TSUBASA B401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR 200;Cyberscience Center, Tohoku University;Japan;2023;Academic;64512;1388.81;16;Asia;50,990;180217;0.3444469246031746
51;HiPerGator AI;NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR;University of Florida;United States;2021;Academic;138880;582.63;64;North America;49,751;179940;0.2684930875576037
52;SuperMUC-NG Phase 2;ThinkSystem SD650-I V3, Xeon Platinum 8480L 56C 2GHz, Intel Data Center GPU Max, Infiniband HDR;Leibniz Rechenzentrum;Germany;2023;Academic;149760;725.9;56;Europe;48,248;180182;0.2714369658119658
60;Cori;Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ;DOE/SC/LBNL/NERSC;United States;2016;Research;622336;3939;68;North America;48,429;178924;0.4303977272727273
