VLT (Paranal); 21; 17235; 26442; 332280; 9875; 539655; 25698; 31; 20
ALMA; 9; 7460; 18610; 299576; 26196; 535340; 56154; 72; 29
SOFIA; 9; 662; 3586; 263544; 22375; 464919; 48729; 702; 130
AAT; 46; 4297; 10848; 29728; 3824; 205610; 4470; 48; 19
VLA; 40; 26918; 28206; 82817; 2400; 178826; 4471; 7; 6
VLBA; 27; 4995; 12427; 31608; 3874; 136194; 5044; 27; 11
IRAM; 30; 6744; 12095; 12240; 3750; 124740; 4158; 18; 10
Gemini-South; 20; 1735; 9949; 32280; 3250; 97280; 4864; 56; 10
CFHT; 41; 8400; 16228; 20414; 1575; 84989; 2073; 10; 5
ESO 3.6?m (La Silla); 43; 3774; 8515; 23815; 1298; 79608; 1851; 21; 9
GBT; 19; 2554; 9905; 28812; 2436; 75088; 3952; 29; 8
LOFAR; 8; 2205; 10304; 48000; 2291; 66326; 7091; 30; 6
JCMT; 33; 4726; 9145; 9192; 1364; 54194; 1642; 11; 6
ATCA; 32; 4108; 12537; 22863; 873; 50787; 1587; 12; 4
H.E.S.S.; 17; 4577; 12889; 11848; 2193; 49126; 2890; 11; 4
MeerKAT; 2; 335; 2750; 30624; 3190; 37004; 6252; 110; 13
GTC; 11; 1059; 6445; 29880; 0; 29880; 2716; 28; 5
NRO; 38; 1776; 3739; 12233; 378; 26609; 700; 15; 7
LMT; 6; 213; 1912; 18504; 786; 23221; 2637; 109; 12
MLSO; 55; 385; 932; 0; 306; 16817; 306; 44; 18
APEX; 15; 2244; 8097; 4800; 675; 14925; 995; 7; 2
SMA; 17; 1585; 5312; 14354; 0; 14354; 844; 9; 3
EHT; 11; 606; 2079; 12580; 0; 12580; 1144; 21; 6
Noto Radio Observatory; 32; 108; 1490; 0; 378; 12096; 378; 112; 8
2m TBL; 40; 435; 1392; 1435; 250; 11435; 286; 26; 8
2.16m (Xinglong Station); 46; 235; 651; 1750; 182; 10137; 220; 43; 16
1.93m OHP; 62; 394; 2056; 1309; 136; 9763; 157; 25; 5
KMTNet; 5; 169; 4191; 4193; 437; 6377; 856; 38; 2
THEMIS; 21; 142; 307; 0; 275; 5775; 275; 41; 19
2.4m LiJiang (YAO); 12; 149; 688; 2297; 239; 5168; 431; 35; 8
2m HCT; 19; 276; 1259; 1454; 151; 4331; 228; 16; 3
1.5m Tillinghast (FLWO); 51; 652; 2514; 683; 71; 4312; 85; 7; 2
1.5m (OAN-SPM); 50; 253; 1258; 683; 71; 4241; 85; 17; 3
1.8m (BOAO); 24; 262; 892; 1093; 114; 3827; 159; 15; 4
1m (Pic-du-Midi); 57; 29; 345; 240; 25; 1665; 29; 57; 5
1.3m Warsaw (OGLE); 23; 4210; 9470; 472; 49; 1604; 70; 0.4; 0.2
C2PU; 6; 31; 1982; 480; 50; 780; 98; 25; 0.4
TAROT; 22; 206; 5602; 216; 23; 711; 32; 3; 0.1
1m NOWT; 7; 17; 118; 240; 25; 415; 49; 24; 4
